日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2012/01/07,板橋,CH4,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.8,1.9,1.9,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2012/01/07,板橋,CO,0.34,0.22,0.22,0.19,0.2,0.2,0.24,0.36,0.43,0.44,0.44,0.44,0.51,0.46,0.52,0.55,0.61,0.68,0.71,0.62,0.58,0.57,0.59,0.47
2012/01/07,板橋,NMHC,0.13,0.09,0.1,0.08,0.07,0.07,0.08,0.13,0.17,0.2,0.18,0.2,0.21,0.18,0.22,0.26,0.3,0.3,0.29,0.25,0.22,0.21,0.21,0.15
2012/01/07,板橋,NO,1.4,0.5,0.3,1.1,1.6,1.7,1.9,3,5,6.4,6.7,5.9,7.6,6.1,7.5,8.2,9.2,8,11,8.8,6.4,8.3,7.7,3.4
2012/01/07,板橋,NO2,16,8,8.3,5.3,5.2,5.8,12,17,21,22,19,20,20,18,23,26,29,31,32,30,27,28,28,20
2012/01/07,板橋,NOx,17,8.5,8.6,6.5,6.8,7.5,13,20,26,28,26,26,28,25,31,34,39,39,43,39,34,36,35,24
2012/01/07,板橋,O3,24,32,31,34,34,33,28,23,20,20,24,23,24,27,22,18,15,12,11,12,14,15,15,21
2012/01/07,板橋,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR
2012/01/07,板橋,PM10,11,7,4,5,7,7,5,6,13,17,16,15,16,22,26,24,22,20,18,17,18,18,15,17
2012/01/07,板橋,PM2.5,3,3,3,3,1,0,1,5,11,14,12,13,12,9,8,10,13,12,10,12,12,13,17,19
2012/01/07,板橋,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR
2012/01/07,板橋,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2012/01/07,板橋,RH,86,85,86,85,83,82,84,84,83,82,80,79,77,75,76,79,81,83,83,84,85,85,84,85
2012/01/07,板橋,SO2,2.1,1.7,2.2,1.7,1.5,1.6,3.3,3.8,4,4.1,2.7,3.7,3.3,3,4,2.3,2,2.3,2.5,3.3,3.9,3.5,4.3,3.6
2012/01/07,板橋,THC,2,1.9,1.9,1.9,1.9,1.9,1.9,2,2,2,2,2.1,2.1,2,2.1,2.1,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2
2012/01/07,板橋,UVB,0,0,0,0,0,0,0,0.1,0.5,1,2.5,1.8,3.1,2.8,1.5,0.5,0.1,0,0,0,0,0,0,0
2012/01/07,板橋,WD_HR,96,92,98,94,94,92,93,91,91,88,89,88,84,88,85,91,90,92,91,90,92,89,94,90
2012/01/07,板橋,WIND_DIREC,103,96,95,94,93,92,93,93,84,90,89,88,76,82,71,90,95,93,87,91,88,92,96,88
2012/01/07,板橋,WIND_SPEED,1.9,2.8,2.2,2.9,3.2,3,3,2.1,2.7,3,4.1,3.3,3.2,3.6,2.4,2.8,2.4,3.1,2.9,2.5,2.9,2.9,2.2,2.2
2012/01/07,板橋,WS_HR,1.8,2.8,1.8,2.7,2.9,2.9,2.6,2.7,2.6,3.1,3.3,3.6,3,3.4,2.7,3,2.7,2.6,2.7,2.6,2.4,2.5,2.4,2.3
2012/01/08,板橋,AMB_TEMP,17,17,17,17,17,17,17,17,17,17,17,18,18,19,19,19,19,18,18,18,18,18,18,18
2012/01/08,板橋,CH4,1.9,1.9,1.9,2,2,2.3,2.2,2.1,2,2.1,2,2,2,2,2,1.9,1.9,1.9,1.9,1.9,1.9,2,1.9,1.9
2012/01/08,板橋,CO,0.4,0.38,0.34,0.38,0.4,0.56,0.65,0.71,0.78,1.27,1.17,0.8,0.86,1.18,0.91,0.58,0.64,0.83,0.8,0.86,0.9,0.94,0.72,0.57
2012/01/08,板橋,NMHC,0.13,0.14,0.16,0.23,0.23,0.38,0.39,0.38,0.35,0.58,0.54,0.39,0.39,0.57,0.46,0.26,0.29,0.36,0.35,0.38,0.38,0.41,0.28,0.24
2012/01/08,板橋,NO,2.4,2.1,1.8,3,0.9,1.9,1.6,2,9.7,17,14,8.4,9.6,16,24,8.1,5.3,8,5.8,8.6,10,11,6.3,3.3
2012/01/08,板橋,NO2,15,14,11,19,18,21,23,23,30,38,39,33,37,47,39,27,28,34,32,33,34,35,29,22
2012/01/08,板橋,NOx,18,17,13,22,19,23,25,25,40,55,53,41,47,63,63,35,33,42,38,41,44,46,36,26
2012/01/08,板橋,O3,26,26,27,21,18,12,14,14,12,8,8.9,17,15,12,13,18,16,9.3,11,10,8.2,7.5,12,20
2012/01/08,板橋,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,6,NR,5,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR
2012/01/08,板橋,PM10,21,20,21,21,22,24,24,24,24,28,33,37,37,38,37,28,22,23,27,26,24,23,18,16
2012/01/08,板橋,PM2.5,16,14,19,20,17,19,21,22,24,30,37,34,22,23,27,15,11,14,20,26,21,15,13,8
2012/01/08,板橋,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,40,NR,33,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR
2012/01/08,板橋,RAINFALL,0.2,NR,NR,NR,NR,0.2,0.2,0.2,0.2,0.2,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2012/01/08,板橋,RH,86,87,86,86,87,89,90,90,90,90,90,90,88,87,81,78,79,80,80,82,82,83,83,83
