date,data
2002/12/05,"[0.0933523922764228, 0.282509, 0.364352, 0, 0, 0.519849, 0, 0, 0, 0, 0, 0, 0, 0, 0.678294, 0, 0, 0.772385, 0, 0, 0.800398, 0.847533, 2.698993, 0, 0, 0, 0, 0, 0, 0, 1.368588, 0.989509, 1.304724, 1.421094, 0.736738, 1.122678, 0.0, 28.0]"
2002/12/06,"[0.0933523922764228, 0.427557, 0.536575, 0, 0, 0.734611, 0, 0, 0, 0, 0, 0, 0, 0, 1.001238, 0, 0, 1.121627, 0, 0, 1.251504, 1.324239, 3.111056, 0, 0, 0, 0, 0, 0, 0, 1.104067, 0.817189, 1.019641, 1.150737, 0.655711, 1.122678, 0.0, 8.0]"
2002/12/10,"[0.0933523922764228, 0.174722, 0.217703, 0, 0, 0.30379, 0, 0, 0, 0, 0, 0, 0, 0, 0.456529, 0, 0, 0.538215, 0, 0, 0.631165, 0.681154, 1.343652, 0, 0, 0, 0, 0, 0, 0, 1.338325, 1.169043, 1.3496, 1.345661, 0.923953, 1.122678, 0.0, 14.0]"
2002/12/11,"[0.0933523922764228, 0.11222, 0.141171, 0, 0, 0.198425, 0, 0, 0, 0, 0, 0, 0, 0, 0.311494, 0, 0, 0.370699, 0, 0, 0.43806, 0.477571, 2.054773, 0, 0, 0, 0, 0, 0, 0, 1.434059, 1.227473, 1.474553, 1.44053, 1.014241, 1.122678, 0.0, 20.0]"
2002/12/14,"[0.0933523922764228, 0.073498, 0.089782, 0, 0, 0.123619, 0, 0, 0, 0, 0, 0, 0, 0, 0.195976, 0, 0, 0.233232, 0, 0, 0.275931, 0.297091, 2.177764, 0, 0, 0, 0, 0, 0, 0, 1.429487, 1.23345, 1.503842, 1.428545, 0.948886, 1.122678, 0.0, 21.0]"
2002/12/15,"[0.0933523922764228, 0.045159, 0.057041, 0, 0, 0.078571, 0, 0, 0, 0, 0, 0, 0, 0, 0.133444, 0, 0, 0.163733, 0, 0, 0.202056, 0.219161, 2.032455, 0, 0, 0, 0, 0, 0, 0, 1.587409, 1.546707, 1.801712, 1.544381, 1.13521, 1.122678, 0.0, 47.0]"
2002/12/17,"[0.0933523922764228, 0.082226, 0.102281, 0, 0, 0.140589, 0, 0, 0, 0, 0, 0, 0, 0, 0.206903, 0, 0, 0.235874, 0, 0, 0.267836, 0.281189, 2.53258, 0, 0, 0, 0, 0, 0, 0, 1.249993, 0.933044, 1.233353, 1.287725, 0.695035, 1.122678, 0.0, 14.0]"
2002/12/18,"[0.0933523922764228, 0.188801, 0.240385, 0, 0, 0.332961, 0, 0, 0, 0, 0, 0, 0, 0, 0.472875, 0, 0, 0.548891, 0, 0, 0.631785, 0.671986, 2.80959, 0, 0, 0, 0, 0, 0, 0, 1.409179, 1.182899, 1.411902, 1.423032, 0.902114, 1.122678, 0.0, 13.0]"
2002/12/19,"[0.0933523922764228, 0.08416, 0.105891, 0, 0, 0.143915, 0, 0, 0, 0, 0, 0, 0, 0, 0.214512, 0, 0, 0.247012, 0, 0, 0.283722, 0.297037, 3.548955, 0, 0, 0, 0, 0, 0, 0, 1.262423, 1.005684, 1.278718, 1.285304, 0.725644, 1.122678, 0.0, 1.0]"
2003/01/01,"[0.0933523922764228, 0.357035, 0.452488, 0, 0, 0.635623, 0, 0, 0, 0, 0, 0, 0, 0, 0.87935, 0, 0, 0.976384, 0, 0, 1.091515, 1.28879, 1.532265, 0, 0, 0, 0, 0, 0, 0, 1.142511, 0.704697, 1.028582, 1.21174, 0.527239, 1.122678, 0.0, 8.0]"
